LIMIT_BAL,GENDER,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
200000,2,1,44,0,1904,0,0,0,2206,1904,0,0,0,2206,686,NO
500000,1,1,39,2082,800,1440,600,8170,600,803,1440,600,8170,600,1389,NO
80000,2,2,25,69614,68836,69714,57318,46921,41072,3238,3103,3000,1800,1500,1700,YES
170000,2,1,37,743,0,16474,4650,2359,0,0,16474,4650,2359,0,1977,NO
130000,1,2,29,30857,43333,0,0,0,0,13333,0,0,0,0,0,NO
80000,1,2,33,251594,264594,4374,5495,5902,6804,13000,0,1200,500,1000,1000,NO
140000,2,3,30,107060,104629,98453,96149,96500,96550,4598,4333,3381,3637,3645,3440,NO
400000,2,2,35,26930,11187,16593,18569,16947,28590,11187,16596,18572,16947,28590,159259,NO
150000,2,2,26,11474,15023,17467,19789,20173,21696,5001,3000,2616,1000,2000,1000,NO
260000,2,2,42,399,2101,577,0,200,0,2101,577,0,200,0,664,NO
20000,2,2,26,0,0,450,-150,750,568,0,450,0,900,568,1769,NO
230000,2,1,49,1034,299,8994,1796,3970,7214,299,8997,1808,3970,7214,3684,NO
150000,2,2,36,0,990,0,234,0,0,990,0,234,0,0,0,NO
350000,2,2,33,341200,328857,324873,300004,306269,273732,14000,12000,10400,12000,12000,9000,YES
170000,2,2,40,15442,16869,21014,18517,9058,5035,2000,5020,2000,3000,1000,464,NO
50000,2,2,39,263,1209,946,576,18611,17721,1209,0,0,18611,0,920,NO
50000,2,2,40,15584,4377,0,0,0,0,4377,0,0,0,0,0,NO
170000,2,2,32,10928,8400,5654,6285,4417,740,6151,4110,6920,6637,0,16744,YES
710000,1,2,33,8471,16849,940,6299,4720,3738,17330,944,7586,4739,3754,25259,NO
200000,1,1,30,3207,4347,2897,1432,1200,-41,4360,2902,1432,1517,0,0,NO
500000,2,2,30,17144,2447,1221,1157,1133,2107,3678,6,1162,1133,1010,5,NO
440000,2,2,34,0,200,751,2674,317,565,200,751,2700,320,570,0,NO
30000,2,2,25,14717,14190,12900,11006,5584,5268,0,0,2046,0,0,0,YES
130000,1,1,48,100522,102650,0,0,0,6163,4650,0,0,0,6163,66564,NO
340000,1,1,37,71934,78695,80831,81589,83546,85362,8000,4000,3000,3300,3300,4000,NO
370000,2,2,35,20108,13976,12939,11367,17049,27337,13994,12939,11380,17049,27337,14146,NO
420000,2,2,37,6277,30512,17516,8773,15437,26376,31326,1150,205,15442,22292,1003,NO
80000,2,2,23,77024,73281,57806,37642,46235,47110,3212,1600,956,40000,1800,1700,YES
110000,1,2,24,326,326,176,-150,150,952,326,176,0,952,952,0,YES
130000,1,2,27,339,339,339,339,339,339,339,339,339,339,339,339,NO
90000,2,2,24,24401,22771,19461,16181,14669,14422,1454,1384,407,673,0,102,NO
20000,2,2,25,18825,18545,18606,18904,19433,18902,1300,1613,1301,830,698,822,YES
210000,1,1,44,396,396,396,396,396,396,396,396,396,396,396,396,YES
150000,1,2,28,24942,83333,75249,61949,67280,64374,80284,6254,6119,33333,4374,6814,NO
10000,2,2,22,6488,7502,8519,9376,9562,9762,1282,1299,1156,342,354,793,NO
190000,2,1,45,140329,128107,131132,96083,97453,99426,6800,7000,3585,3700,3754,7900,NO
350000,1,1,31,232501,231747,197689,207984,183208,190436,20000,20023,20014,20000,20000,20000,NO
290000,1,2,34,1597,-2002,-1001,3999,0,4483,0,0,5000,0,4483,1209,NO
130000,1,2,28,70952,69264,70184,8518,11296,6514,0,3000,2000,3000,2000,0,YES
50000,2,2,24,2757,3776,4785,5031,5134,5138,1070,1079,325,332,238,1180,NO
170000,2,2,25,57198,59379,28679,29215,19415,19531,3200,2000,3000,10000,2000,0,NO
280000,1,1,44,295786,305529,311081,313242,151292,152318,15000,10472,11334,10010,6000,200000,NO
80000,2,1,32,871,3179,3344,3552,0,0,3381,3384,3958,0,0,0,NO
90000,1,2,31,34704,36426,35387,36838,35867,36841,3000,1549,2000,2000,2000,1000,NO
150000,2,1,34,28210,19130,10000,8000,0,10000,1130,1000,8000,2000,10000,0,NO
360000,2,2,26,2741,-59,-59,11868,-2,450,0,0,11927,0,452,3818,NO
20000,1,2,30,12755,832,2800,1231,1052,0,832,1000,900,500,0,0,NO
320000,1,1,47,162701,132087,120285,124565,89699,62805,20000,15000,10000,22500,20000,20000,NO
250000,1,1,58,1635,2491,-60,600,600,0,1025,0,660,0,0,0,NO
20000,1,1,45,19473,19868,16749,17538,13840,7370,1896,1417,1206,284,147,4937,NO
100000,2,2,41,1023,0,0,50063,22767,23399,0,0,50063,900,1000,1000,NO
60000,2,1,31,27347,22915,22243,20938,22486,21394,5000,7243,5000,5000,5394,16000,NO
210000,2,1,25,7788,8801,9825,10838,12652,13060,1149,1173,1186,2000,1000,1000,NO
160000,2,1,25,116744,94894,97589,78487,78592,81326,4000,4500,3000,3000,4000,5000,NO
50000,1,1,33,97190,48290,49633,48707,19623,13673,1787,2130,1184,13604,496,523,YES
130000,2,1,40,102650,0,0,0,0,0,0,0,0,0,0,0,NO
260000,1,2,31,3113,3117,2924,2784,2413,902,1300,1100,1000,300,0,1261,NO
60000,2,2,28,0,1672,836,836,780,390,1672,836,0,780,390,0,YES
210000,2,1,30,107539,103234,47363,45810,42093,36587,3000,3018,2000,1500,1500,2000,NO
500000,1,2,47,21376,20473,3581,18855,6783,5921,20473,3587,18860,146,5923,9464,NO
20000,1,2,25,150,150,150,1150,1000,0,0,0,1000,0,0,0,NO
230000,2,1,51,0,0,0,0,0,496,0,0,0,0,496,496,YES
300000,1,1,46,289299,297003,300153,9250,6088,2497,15000,13274,1010,185,2497,2497,NO
280000,1,1,35,146368,244092,210226,177595,153181,145852,101585,90762,50119,282,50436,54184,NO
50000,1,2,22,13444,14819,15967,16599,17329,17888,1600,1700,1200,1000,1000,1000,NO
240000,2,2,34,122810,114408,97395,83314,73292,59270,10066,7255,3035,3030,3018,2012,NO
200000,1,1,48,5472,4306,4655,4930,3601,3366,4318,4681,4958,3712,3476,990,NO
170000,1,2,29,0,0,0,0,1015,0,0,0,0,1015,0,0,NO
230000,1,1,31,60528,49036,31226,15568,10000,0,5000,0,5000,10000,0,10000,NO
500000,1,1,34,0,198,198,198,115397,120250,198,0,0,115399,6211,2054,YES
60000,2,2,23,2516,0,0,0,1524,25421,0,0,0,1524,25421,1000,NO
140000,2,2,27,10064,10551,11655,11377,735,1051,2000,2000,1000,735,1051,569,NO
20000,1,1,33,11026,9535,10510,10472,10140,10101,1174,1149,501,356,507,458,NO
320000,1,1,44,7500,8500,7500,7500,7500,7500,8500,7500,7500,7500,7500,7500,NO
70000,2,1,31,9633,11462,14259,15525,14772,15380,2000,3000,2000,0,1000,1000,NO
260000,1,2,35,138834,143518,146714,148787,152306,155690,7000,7000,6000,6001,6000,6000,NO
30000,2,2,22,2006,3116,28844,25317,25885,25165,1157,25885,1500,2170,1000,1000,NO
30000,1,2,25,22422,24334,26087,26184,25563,26099,2600,2441,820,0,851,1678,NO
310000,2,2,28,240846,220845,179260,116798,109647,114745,10500,7809,10000,10000,10334,10000,NO
250000,2,2,25,5211,5211,6282,4140,5211,5211,5211,6282,4140,5211,5211,5211,NO
50000,1,1,44,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,NO
70000,1,2,40,45740,44727,45738,48977,52191,53242,0,1750,4000,4000,2060,2200,YES
50000,2,1,28,14262,16024,17744,19440,23089,24695,2000,2000,2000,4000,2000,2000,YES
430000,2,2,38,590,590,590,590,590,590,590,590,590,590,590,590,NO
80000,2,2,31,34620,35759,40020,40766,39982,44621,2000,5200,1700,0,5500,0,NO
100000,2,2,27,40576,41876,42699,44020,44588,45521,1977,1800,2032,1600,1652,1734,YES
50000,2,1,26,6064,5432,6090,6626,6513,6097,0,1136,1062,339,187,364,YES
50000,2,2,44,390,390,390,18015,17150,17102,390,390,18015,400,342,3334,NO
210000,1,2,38,280,0,0,0,0,14202,0,0,0,0,14202,2903,NO
140000,2,1,39,131764,134654,138303,119845,122457,125487,6500,7500,5000,4700,5228,4500,NO
170000,2,2,27,80848,83678,28461,13263,3637,4814,8000,2000,1000,1000,2000,1000,NO
200000,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,YES
90000,1,1,57,0,0,0,0,0,585,0,0,0,0,585,0,NO
50000,1,1,43,48919,48775,48731,48934,29116,28999,1800,2200,1400,582,580,30000,NO
320000,2,1,41,97797,99672,101953,102284,104090,105859,4520,5050,3590,3700,3750,3510,NO
40000,2,2,26,31475,32663,33813,34952,36447,35515,2000,2000,2000,2500,0,1500,NO
500000,1,2,35,172041,70011,12976,34469,27425,28506,58761,13976,34828,28289,18175,17500,NO
150000,2,1,43,90606,93496,94196,91550,89586,88300,4348,3229,3150,3348,3244,8778,NO
50000,1,2,43,4166,4166,4216,4166,4166,4166,4166,4216,4116,4166,4166,4166,NO
30000,2,2,25,15767,16083,6115,0,0,0,1488,1000,0,0,0,0,NO
170000,2,2,48,24953,24334,25558,24580,24855,26123,2000,2000,1400,1000,2000,2000,NO
180000,1,1,51,40310,41634,44959,50198,52361,55510,2000,4000,6000,3000,4000,3000,NO
50000,2,2,24,50789,52158,51051,50959,51121,49344,2500,0,2100,3500,0,2000,NO
270000,1,2,31,9526,10418,6436,7196,7137,5587,1116,1500,2000,1000,194,1005,NO
160000,1,2,30,750,370,-20,780,0,1470,400,0,800,0,1470,0,NO
100000,2,2,41,96509,97042,98054,92466,67337,67093,4500,5000,4000,5000,3000,4000,NO
150000,2,2,26,69169,67855,74494,74204,75678,74235,3083,10000,2554,2566,2600,3016,NO
130000,2,2,29,12939,10000,2277,1132,1289,0,1000,2277,1132,1289,0,2080,NO
240000,2,1,38,0,0,0,0,0,0,0,100000,0,0,0,0,NO
180000,2,1,38,150345,145797,147825,145482,141846,132687,5300,6840,6700,5100,5000,4800,YES
280000,2,2,31,1558,0,940,0,699,0,0,940,0,699,0,399,NO
140000,2,2,26,21688,0,0,0,0,0,0,0,0,0,0,0,NO
240000,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,NO
170000,2,2,32,0,0,0,0,500,500,0,0,0,500,500,500,YES
50000,2,1,31,50628,48748,46368,2443,6251,357,2350,3000,1000,6000,400,9844,YES
80000,2,2,31,1019,8479,9947,10671,11923,12050,8479,2000,2000,2000,2000,1000,YES
240000,2,2,28,168068,168685,94520,14422,12552,20550,6042,3558,1000,600,10550,9000,NO
80000,1,2,30,79949,65416,45991,47229,48468,49490,2500,2000,2000,2000,1826,2000,NO
200000,2,1,35,2257,4261,1265,2473,0,0,4266,1667,2473,0,0,0,NO
70000,2,2,36,68028,67864,59165,29314,28844,29443,3340,2044,1773,1181,1215,1297,YES
170000,2,1,42,52262,36518,20533,-919,-919,-919,1985,1000,16000,16000,16000,24288,NO
210000,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,YES
150000,2,1,36,38298,39292,40357,41284,42105,43146,1635,1700,1600,1507,1719,2000,NO
360000,2,1,31,990,990,990,990,990,990,990,990,990,990,990,4970,NO
110000,1,2,25,23459,27157,26549,34222,44062,45036,4000,0,9000,10700,1700,0,YES
260000,1,2,29,8832,1528,0,0,5987,5837,15,0,0,5987,0,27887,YES
30000,2,1,26,30954,30670,29856,30584,27883,29334,2074,0,2304,0,2400,0,NO
50000,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,NO
260000,2,1,39,255674,260778,124739,126892,131160,133400,10663,4520,4537,6308,6000,0,YES
200000,1,1,43,145901,144678,140804,136437,135253,134629,5216,5090,5014,5009,4844,5002,NO
150000,1,2,26,164576,160500,170405,176048,161874,144124,0,14000,10048,0,5118,4517,YES
60000,2,2,25,56136,57280,56969,58695,57453,61153,2100,2100,2685,2300,4800,3400,NO
90000,1,1,42,95773,95489,94681,93965,90545,90529,4000,3500,3500,0,3500,4200,NO
150000,1,1,41,19350,20703,10403,10927,11598,13235,2000,3000,1000,1000,2000,2000,NO
20000,1,2,26,11065,11788,13082,13498,14278,13899,1206,1500,634,1151,0,514,YES
60000,2,2,23,27104,28179,30586,30885,30268,30103,1500,2867,1080,0,1319,2200,NO
30000,1,1,48,29428,19950,24514,4083,6234,0,1402,10096,4083,6255,0,0,NO
60000,1,2,30,0,345,11736,11387,10228,10497,345,13737,0,4000,6000,0,NO
90000,2,2,28,5799,3095,5257,6649,8680,7844,0,3000,2000,3000,0,20000,NO
250000,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,YES
500000,1,2,38,130700,15785,154653,450497,425957,298509,15785,154653,338394,16000,500,19999,NO
110000,1,1,54,105449,107957,82407,70562,70982,71609,4500,3786,2666,2900,3100,2856,NO
150000,1,2,33,26739,32939,34300,35100,-1200,-1200,7000,2500,1000,0,0,0,NO
330000,1,1,40,309055,314927,322077,166654,170008,174723,12500,13306,6000,6000,7333,8000,NO
260000,2,2,38,-2,-2,725,2074,0,585,0,727,2074,0,585,0,NO
60000,2,1,23,43714,47653,51400,399,500,10400,5000,5000,399,500,10400,0,NO
270000,2,2,36,-33,-33,24646,1585,15376,497,0,24679,4893,15376,497,5373,NO
150000,1,2,39,1580,2925,-551,-1944,-4430,-5813,2935,4,7,4,7,10004,NO
500000,2,2,48,77461,68781,58436,9536,8302,64460,68781,58436,9536,58302,64460,14000,NO
200000,2,1,28,3099,3174,0,3239,0,500,3174,0,3239,0,500,0,NO
230000,2,2,29,0,0,0,0,0,0,0,0,0,0,0,0,NO
400000,1,2,31,185677,189682,194509,199284,203502,195769,7000,8000,8000,7500,9000,5000,NO
150000,1,1,40,74985,76745,19472,20650,0,0,3400,1600,1700,0,0,0,NO
70000,2,1,53,54251,55402,53925,56814,58053,59246,2600,0,4400,2300,2300,2100,YES
250000,1,1,28,191305,90497,92278,93354,95309,97411,3899,3913,3186,3301,3525,3095,NO
500000,2,1,56,881,1035,29944,10528,17907,3147,1035,29944,10528,17907,3147,5011,NO
200000,1,2,47,696,696,696,696,846,696,696,696,696,846,696,696,NO
160000,1,2,26,138825,135233,130038,79027,6666,6666,6800,5600,3715,6666,6666,6666,YES
230000,1,2,42,380,380,380,380,380,380,380,380,380,380,380,380,YES
130000,2,2,23,111388,113900,109062,105252,103969,104254,6000,5000,6000,10000,10000,5000,NO
240000,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,YES
90000,2,2,29,34954,34093,37539,36641,37061,38011,0,4000,0,1326,1547,3000,NO
170000,1,1,45,40441,40937,34090,34894,36829,37727,5000,2000,2000,3000,2000,2000,NO
10000,1,1,50,10171,8150,8446,8067,8227,8400,2,1281,1134,294,305,1000,NO
360000,1,2,33,206597,211687,198245,217320,2500,0,10022,25045,33124,5180,0,0,NO
260000,2,1,36,118028,113611,107853,103031,98487,77783,4379,3670,4000,4000,3000,3000,NO
30000,2,1,27,25557,26648,27536,28203,29048,29903,1800,1600,1400,1600,1600,1600,YES
50000,1,1,30,49926,48840,46958,47796,48800,50108,0,0,2000,2000,2000,6000,YES
150000,2,1,38,0,0,0,0,0,150,0,0,0,0,150,810,YES
290000,2,1,29,232319,109791,106730,93882,91746,76547,5071,4539,3000,3500,3856,3000,NO
430000,2,1,43,8894,11198,14861,13846,13451,16162,11198,14861,1400,951,14082,14482,NO
30000,2,1,51,11860,6846,7090,2680,390,0,1000,7090,2680,390,0,780,NO
80000,1,2,42,11204,17587,17405,20207,23308,26406,6922,441,3450,3541,3545,3649,NO
290000,2,1,39,316,316,316,316,316,297,316,316,316,316,297,2828,NO
180000,2,1,44,97925,98817,98495,96309,98484,100319,4303,4200,3500,3700,3600,3800,NO
50000,1,1,22,45458,46450,47599,48456,44546,43256,2051,2200,2016,2009,2092,1020,YES
70000,2,2,23,14816,8237,-2601,69823,30446,29585,1000,695,73820,1042,1054,1024,NO
260000,1,1,43,0,0,0,14855,13650,0,0,0,15055,0,0,0,YES
50000,1,2,23,49283,48570,49362,47907,18145,17495,1781,3264,1400,3000,350,133,NO
190000,1,2,36,154456,142409,119290,99767,101761,105150,6176,5000,3815,3614,5000,5000,YES
30000,1,2,28,9262,11792,11311,11820,13558,20271,3000,0,1000,2100,7000,0,YES
180000,2,1,35,43068,316,316,316,316,316,316,316,316,316,316,314,NO
360000,1,2,30,312,312,312,312,251,-61,313,313,313,252,1,95971,YES
360000,1,2,28,8840,4951,-17,1815,1035,460,4951,0,1832,1035,460,635,NO
240000,1,1,49,511,-5,-5,561,0,0,0,0,566,0,0,517,NO
230000,2,1,30,8685,1079,2923,25916,4219,7903,1079,3000,25916,2219,4000,6000,NO
100000,2,2,42,117464,81625,81815,78927,77418,74657,2962,2986,2807,2686,2767,2909,YES
100000,2,2,30,29668,32463,33350,34003,34647,35348,3600,1700,1500,1500,1400,0,NO
50000,1,1,58,55262,53057,50447,34608,22658,18503,2000,1703,1406,721,645,658,NO
210000,2,2,27,190,-310,1527,1901,0,2706,0,3054,2189,0,2706,0,NO
120000,1,2,28,8460,7729,8920,7439,26832,26287,5000,1500,7000,21300,0,1000,NO
60000,2,1,37,55233,54898,52890,49066,34105,32778,1940,2019,2236,1351,1326,1454,NO
60000,1,2,24,58231,61671,59755,58194,38649,35361,5000,0,198,1500,1300,2000,YES
180000,2,2,33,94001,99558,106353,113047,115572,117660,8000,10000,10000,4500,4500,5300,NO
50000,1,2,26,38160,40213,41167,41890,42605,41792,3000,1900,1700,1700,0,2500,YES
20000,2,1,54,6268,8221,6997,8028,9510,8815,3000,0,3000,2000,0,5363,NO
210000,1,1,47,1772,-55,-55,-55,-55,-55,0,0,0,0,0,0,NO
140000,2,2,30,3043,4168,1420,0,49,49,1423,2,0,49,0,0,YES
110000,1,2,28,109241,111541,113676,114223,110876,107710,5600,5400,4000,0,4000,3700,YES
180000,2,2,28,176802,179271,180382,132104,129772,124734,6963,6208,3749,4365,4517,177,NO
20000,2,1,24,19915,19902,19299,20686,20073,19470,600,0,2000,0,0,0,YES
230000,1,2,27,19200,10000,20176,10000,10000,10000,10000,20176,200,10000,10000,10000,NO
20000,2,1,29,13958,15016,16069,16776,17118,19835,1600,1600,1278,620,3000,900,NO
200000,2,2,26,199649,202127,198168,189696,192462,194025,7263,7266,7000,7940,7009,7000,NO
500000,2,2,29,82715,29004,104650,75583,26728,78226,7057,134011,8000,10000,78226,50000,NO
